1841,サンユー建設,39億,11.47,2.46,1.92,建設業
1844,大盛工業,42億,12.42,6.1,2.83,建設業
1847,イチケン,184億,6.34,9.39,4.46,建設業
1848,富士ピー・エス,81億,18.41,4.21,1.25,建設業
1850,南海辰村建設,83億,5.91,8.94,4.79,建設業
1852,淺沼組,550億,13.6,9.42,4.67,建設業
1853,森組,101億,14.41,5,2.51,建設業
1860,戸田建設,3210億,11.17,7.72,3.1,建設業
1861,熊谷組,1473億,14.5,5.77,2.32,建設業
1866,北野建設,241億,9.09,5.49,3.24,建設業
1867,植木組,110億,6.96,5.54,3.53,建設業
1869,名工建設,303億,7.44,5.35,3.65,建設業
1870,矢作建設工業,705億,12.6,8.19,4.59,建設業
1871,ピーエス・コンストラクション,470億,9.24,9.54,4.07,建設業
1873,日本ハウス HD,140億,14.08,4.72,2.39,建設業
1878,大東建託,1兆1888億,14.84,18.54,7.26,建設業
1879,新日本建設,973億,7.54,10.95,7.79,建設業
1882,東亜道路工業,662億,15.51,7.66,4.64,建設業
1884,日本道路,731億,14.07,5.33,3.66,建設業
1885,東亜建設工業,790億,8.9,8.49,3.27,建設業
1887,日本国土開発,460億,15.87,3.8,1.78,建設業
1888,若築建設,429億,10.32,9.18,4.95,建設業
1890,東洋建設,1260億,16.51,10.53,5.45,建設業
1892,徳倉建設,99億,7.77,6.35,2.5,建設業
1893,五洋建設,1687億,8.32,11.73,3.56,建設業
1897,金下建設,107億,50.79,0.65,0.54,建設業
1898,世紀東急工業,590億,15.56,9.49,5.02,建設業
1899,福田組,470億,11.12,4.78,2.74,建設業
190A,Chordia Therapeutics,330億,,,,医薬品
192A,インテグループ,90億,10.46,63.64,40.88,サービス業
194A,WOLVES HAND,80億,13.47,26.54,9.7,サービス業
195A,ライスカレー,33億,12.4,25.09,13.5,サービス業
196A,MFS,24億,65.22,1.8,1.53,その他金融業
197A,タウンズ,541億,9,44.07,20.57,医薬品
198A,PostPrime,84億,39.1,25.08,16.96,情報・通信業
1904,大成温調,291億,14.48,6.9,3.97,建設業
1905,テノックス,82億,11.32,5.32,3.34,建設業
1909,日本ドライケミカル,235億,7.86,12.21,5.83,機械
1911,住友林業,1兆3097億,11.31,12.86,5.45,建設業
1914,日本基礎技術,199億,12.89,4.64,3.09,建設業
1921,巴コーポレーション,373億,2.75,25.48,17.11,建設業
